Date,Open,High,Low,Close,Volume
6/13/2016,4436.12,4461.27,4419.73,4422.76,325568966
6/14/2016,4413.71,4439.73,4392.43,4424.91,330984483
6/15/2016,4433.68,4439.61,4404.58,4409.51,310724138
6/16/2016,4387.9,4428.27,4362.16,4424.23,319270690
6/17/2016,4409.75,4409.75,4363.63,4374.38,454865517
6/20/2016,4424.11,4444.07,4397.36,4400.16,306820690
6/21/2016,4408.03,4422.66,4398.64,4413.41,292772414
6/22/2016,4415.46,4442.02,4400.88,4404.73,290037931
6/23/2016,4437.61,4467.48,4420.16,4467.48,299753448
6/24/2016,4294.8,4373.15,4274.54,4285.7,760524138
6/27/2016,4247.71,4249,4179.73,4201.06,458560345
6/28/2016,4245.32,4291.43,4245.29,4290.47,357601724
6/29/2016,4323.33,4373.97,4322.36,4364.74,364922414
6/30/2016,4378.75,4417.96,4359.58,4417.7,374341379
7/1/2016,4411.77,4453.86,4411.76,4437.45,300884483
7/5/2016,4414.35,4418.04,4386.56,4410.75,291437931
7/6/2016,4388.43,4447.23,4375.72,4444.7,323463793
7/7/2016,4451.15,4468.31,4438.8,4459.59,288408621
7/8/2016,4484.92,4529.72,4476.5,4528.36,335734483
7/11/2016,4544.33,4569.97,4544.33,4554.71,296284483
7/12/2016,4579.85,4588.24,4570.56,4577.61,321772414
7/13/2016,4589.13,4589.95,4565.7,4565.77,284624138
7/14/2016,4597.18,4604.76,4585.7,4596.49,282960345
7/15/2016,4602,4607.18,4579.83,4589.83,277637931
7/18/2016,4595.06,4627.57,4591.82,4619.68,273374138
7/19/2016,4601.68,4617.47,4595.38,4603.29,292196552
7/20/2016,4630.84,4665.67,4623.93,4657.2,323677586
7/21/2016,4662.95,4669.53,4634.07,4647.02,324191379
7/22/2016,4650.98,4670.54,4635.22,4666.07,282586207
7/25/2016,4662.9,4667.09,4650.5,4665.93,305279310
7/26/2016,4664.1,4687.9,4648.93,4672.11,351389655
7/27/2016,4711.11,4716.07,4685.11,4702.89,365905172
7/28/2016,4710.23,4725.78,4696.09,4721.41,336363793
7/29/2016,4734.7,4743.25,4715.77,4730.23,357351724
8/1/2016,4734.44,4767.24,4728.73,4756.04,321825862
8/2/2016,4748.41,4752.29,4689.55,4719.21,369312069
8/3/2016,4716.58,4734.33,4712.1,4734.33,329218966
8/4/2016,4731.54,4749.09,4719.01,4743.81,332758621
8/5/2016,4769.17,4799.86,4763.58,4791.21,347882759
8/8/2016,4791.1,4794.14,4770.22,4784.74,280077586
8/9/2016,4787.92,4811.02,4786.38,4795.75,286951724
8/10/2016,4799.83,4799.88,4771.98,4783.4,284696552
